zip,metro,area_name,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
21201,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1460,1670,2040,2630,2930
21202,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1590,1810,2220,2860,3190
21205,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21206,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21207,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21208,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1530,1740,2130,2740,3060
21209,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1510,1720,2110,2720,3030
21210,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1350,1540,1890,2430,2720
21211,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1360,1550,1900,2450,2730
21212,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1310,1490,1830,2360,2630
21213,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21214,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21215,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21216,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21217,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21218,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21222,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21223,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21224,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1580,1800,2200,2830,3160
21225,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21226,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1310,1490,1830,2360,2630
21227,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21228,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1340,1530,1870,2410,2690
21229,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
21230,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1550,1760,2160,2780,3110
21231,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1680,1920,2350,3020,3380
21234,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1340,1530,1870,2410,2690
21236,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1400,1600,1960,2520,2820
21237,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1270,1450,1780,2290,2570
21239,Baltimore,"Baltimore-Columbia-Towson, MD MSA",1250,1430,1750,2270,2570
60004,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1810,1930,2180,2800,3290
60005,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1570,1670,1890,2430,2850
60007,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1620,1740,1960,2520,2960
60008,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1620,1730,1950,2500,2940
60016,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1520,1630,1840,2360,2780
60018,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1220,1300,1470,1890,2220
60022,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2040,2180,2460,3160,3720
60025,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1720,1840,2080,2670,3140
60026,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2000,2130,2410,3100,3640
60029,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1880,2010,2270,2910,3420
60043,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2100,2240,2530,3250,3810
60053,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2190,2340,2640,3390,3980
60056,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1550,1660,1870,2400,2820
60062,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1960,2100,2370,3040,3580
60067,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1570,1680,1900,2440,2870
60068,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1600,1710,1930,2480,2910
60070,Chicago,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1390,1490,1680,2160,2530
