SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,801 N Pitt St #1209,Alexandria,VA,22314,375000,1,1.0,PORT ROYAL,787,,1965,3,476,1021,Pre On-Market,,,https://www.redfin.com/VA/Alexandria/801-N-Pitt-St-22314/unit-1209/home/11866974,BRIGHT MLS,VAAX2054800,N,Y,38.8133475,-77.0422503
MLS Listing,,Townhouse,4534 Shoal Creek Ct,Alexandria,VA,22312,629000,3,3.0,PINECREST THE,1372,1500,1986,4,458,104,Pre On-Market,March-15-2026 01:00 PM,March-15-2026 03:00 PM,https://www.redfin.com/VA/Alexandria/4534-Shoal-Creek-Ct-22312/home/9719948,BRIGHT MLS,VAFX2294126,N,Y,38.826028,-77.1666571
MLS Listing,,Condo/Co-op,309 Yoakum Pkwy #1604,Alexandria,VA,22304,315000,2,2.0,WATERGATE AT LANDMARK,1098,,1979,5,287,894,Active,,,https://www.redfin.com/VA/Alexandria/309-Yoakum-Pkwy-22304/unit-1604/home/11863568,BRIGHT MLS,VAAX2053780,N,Y,38.807187,-77.1429316
MLS Listing,,Condo/Co-op,3307 Wyndham Cir #1160,Alexandria,VA,22302,295000,1,1.0,POINTE AT PARK C,826,,1990,6,357,607,Active,,,https://www.redfin.com/VA/Alexandria/3307-Wyndham-Cir-22302/unit-1160/home/11876625,BRIGHT MLS,VAAX2054400,N,Y,38.8343356,-77.1030746
MLS Listing,,Condo/Co-op,803 N Howard St #252,Alexandria,VA,22304,350000,2,2.0,THE PLAZA,1308,,1974,13,268,990,Active,,,https://www.redfin.com/VA/Alexandria/803-N-Howard-St-22304/unit-252/home/11867422,BRIGHT MLS,VAAX2054154,N,Y,38.8179824,-77.1046344
MLS Listing,,Condo/Co-op,250 S Reynolds St #1003,Alexandria,VA,22304,330000,2,2.0,TEMPLETON,1436,,1974,24,230,989,Active,,,https://www.redfin.com/VA/Alexandria/250-S-Reynolds-St-22304/unit-1003/home/11854719,BRIGHT MLS,VAAX2053970,N,Y,38.810363,-77.127501
MLS Listing,,Condo/Co-op,2451 Midtown Ave #203,Alexandria,VA,22303,445000,2,2.0,MIDTOWN ALEXANDRIA STATION CONDO,1158,,2007,29,384,617,Active,,,https://www.redfin.com/VA/Alexandria/2451-Midtown-Ave-22303/unit-203/home/21706112,BRIGHT MLS,VAFX2288560,N,Y,38.7966148,-77.0742309
MLS Listing,,Condo/Co-op,5904 Mount Eagle Dr #510,Alexandria,VA,22303,469900,2,2.0,MONTEBELLO CONDO,1160,,1986,31,405,892,Active,,,https://www.redfin.com/VA/Alexandria/5904-Mount-Eagle-Dr-22303/unit-510/home/9763607,BRIGHT MLS,VAFX2289056,N,Y,38.7883722,-77.0689236
MLS Listing,,Condo/Co-op,2121 Jamieson Ave #609,Alexandria,VA,22314,740000,2,2.5,CARLYLE TOWERS,1415,,1997,32,523,1014,Active,,,https://www.redfin.com/VA/Alexandria/2121-Jamieson-Ave-22314/unit-609/home/11872353,BRIGHT MLS,VAAX2053774,N,Y,38.8039932,-77.0655544
