SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,4500 S Four Mile Run Dr S #910,Arlington,VA,22204,325000,1,1.0,Arlington,856,,2005,4,380,627,Active,,,https://www.redfin.com/VA/Arlington/4500-S-Four-Mile-Run-Dr-22204/unit-910/home/11282038,BRIGHT MLS,VAAR2069306,N,Y,38.8530996,-77.1057944
MLS Listing,,Condo/Co-op,4531 28th Rd S Unit 9-7,Arlington,VA,22206,480000,2,1.0,HEATHERLEA,935,,1983,11,513,370,Active,,,https://www.redfin.com/VA/Arlington/4531-28th-Rd-S-22206/unit-9-7/home/11267713,BRIGHT MLS,VAAR2068874,N,Y,38.8444747,-77.097358
MLS Listing,,Condo/Co-op,1301 N Courthouse Rd #1205,Arlington,VA,22201,374000,1,1.0,WOODBURY HEIGHTS,627,,1983,17,596,492,Active,,,https://www.redfin.com/VA/Arlington/1301-N-Courthouse-Rd-22201/unit-1205/home/11251386,BRIGHT MLS,VAAR2066864,N,Y,38.8887962,-77.0829863
MLS Listing,,Condo/Co-op,2321 25th St S Unit 2-106,Arlington,VA,22206,474990,2,2.0,GROVE AT ARLINGTON,1056,,2003,18,450,785,Active,,,https://www.redfin.com/VA/Arlington/2321-25th-St-S-22206/unit-2-106/home/11282203,BRIGHT MLS,VAAR2068664,N,Y,38.8474711,-77.0771691
MLS Listing,,Condo/Co-op,888 N Quincy St #307,Arlington,VA,22203,465000,1,1.0,RESIDENCES AT LIBERTY CENTER,689,,2008,39,675,574,Active,,,https://www.redfin.com/VA/Arlington/888-N-Quincy-St-22203/unit-307/home/28681530,BRIGHT MLS,VAAR2068138,N,Y,38.880873,-77.107973
MLS Listing,,Condo/Co-op,3600 S Glebe Rd Unit 526W,Arlington,VA,22202,399000,1,1.0,ECLIPSE ON CENTER PARK,700,,2006,47,570,480,Active,,,https://www.redfin.com/VA/Arlington/3600-S-Glebe-Rd-22202/unit-526W/home/12042728,BRIGHT MLS,VAAR2067958,N,Y,38.842385308,-77.05186796
MLS Listing,,Condo/Co-op,3600 S Glebe Rd Unit 215W,Arlington,VA,22202,407000,1,1.0,Arlington,669,,2006,185,608,480,Active,,,https://www.redfin.com/VA/Arlington/3600-S-Glebe-Rd-22202/unit-215W/home/12042580,BRIGHT MLS,VAAR2063200,N,Y,38.8421491,-77.0516341
MLS Listing,,Townhouse,2600 16th St S #711,Arlington,VA,22204,324900,1,1.0,ARL VLG COURTYAR,658,,1939,287,494,520,Active,,,https://www.redfin.com/VA/Arlington/2600-16th-St-S-22204/unit-711/home/11273048,BRIGHT MLS,VAAR2057444,N,Y,38.8573004,-77.0828173
MLS Listing,,Townhouse,1604 10th St S,Arlington,VA,22204,619900,3,2.0,CARRINGTON VILLAGE,1330,809,1986,1,466,115,Active,,,https://www.redfin.com/VA/Arlington/1604-10th-St-S-22204/home/11273892,BRIGHT MLS,VAAR2068924,N,Y,38.8646501,-77.071921
