SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,7923 Eastern Ave #105,Silver Spring,MD,20910,299000,1,1.0,AURORA CODM,683,,1965,3,438,313,Active,,,https://www.redfin.com/MD/Silver-Spring/7923-Eastern-Ave-20910/unit-105/home/11759264,BRIGHT MLS,MDMC2219452,N,Y,38.9866551,-77.0287426
MLS Listing,,Condo/Co-op,1753 Willard St NW #3,Washington,DC,20009,450000,1,1.0,Old City 2,500,,1900,4,900,132,Active,,,https://www.redfin.com/DC/Washington/1753-Willard-St-NW-20009/unit-3/home/145312040,BRIGHT MLS,DCDC2248582,N,Y,38.9164608,-77.0404252
MLS Listing,,Townhouse,751 P St NW #9,Washington,DC,20001,700000,2,2.5,OLD CITY #2,987,,2012,4,709,367,Pre On-Market,March-15-2026 01:00 PM,March-15-2026 03:00 PM,https://www.redfin.com/DC/Washington/751-P-St-NW-20001/unit-9/home/55187331,BRIGHT MLS,DCDC2248946,N,Y,38.9098212,-77.0226203
MLS Listing,,Condo/Co-op,1375 Maryland Ave NE Unit B,Washington,DC,20002,625000,1,1.0,Washington,1319,,1895,5,474,672,Active,,,https://www.redfin.com/DC/Washington/1375-Maryland-Ave-NE-20002/unit-B/home/147407640,BRIGHT MLS,DCDC2247864,N,Y,38.898696,-76.985819
MLS Listing,,Townhouse,16 Gallatin St NW,Washington,DC,20011,850000,4,3.5,Petworth,2178,1710,1938,5,390,,Active,,,https://www.redfin.com/DC/Washington/16-Gallatin-St-NW-20011/home/10070143,BRIGHT MLS,DCDC2248456,N,Y,38.9521819,-77.0096959
MLS Listing,,Townhouse,1742 L St NE,Washington,DC,20002,549900,2,1.5,Trinidad,840,1775,1927,5,655,,Active,,,https://www.redfin.com/DC/Washington/1742-L-St-NE-20002/home/10110263,BRIGHT MLS,DCDC2243140,N,Y,38.9038692,-76.9784662
MLS Listing,,Condo/Co-op,2129 Florida Ave NW #503,Washington,DC,20008,425000,1,1.0,Kalorama,630,,1916,5,675,634,Active,,,https://www.redfin.com/DC/Washington/2129-Florida-Ave-NW-20008/unit-503/home/9997553,BRIGHT MLS,DCDC2248608,N,Y,38.9131732,-77.0475451
MLS Listing,,Condo/Co-op,1747 Willard St NW #2,Washington,DC,20009,739900,2,2.0,Old City 2,1020,,1900,6,725,300,Active,,,https://www.redfin.com/DC/Washington/1747-Willard-St-NW-20009/unit-2/home/21648218,BRIGHT MLS,DCDC2247584,N,Y,38.9164698,-77.0402087
MLS Listing,,Condo/Co-op,1449 A St NE Unit D,Washington,DC,20002,440000,1,1.0,Old City 1,786,,1980,6,560,360,Pre On-Market,,,https://www.redfin.com/DC/Washington/1449-A-St-NE-20002/unit-D/home/9916934,BRIGHT MLS,DCDC2248304,N,Y,38.8904416,-76.9844715
MLS Listing,,Condo/Co-op,1812 N Capitol St NW #201,Washington,DC,20002,545000,2,2.0,Washington,980,,1895,14,556,428,Active,,,https://www.redfin.com/DC/Washington/1812-N-Capitol-St-NW-20002/unit-201/home/110292702,BRIGHT MLS,DCDC2245560,N,Y,38.9144956,-77.0094066
MLS Listing,,Condo/Co-op,1115 12th St NW #104,Washington,DC,20005,250000,1,1.0,Old City 2,542,,1937,15,461,423,Active,,,https://www.redfin.com/DC/Washington/1115-12th-St-NW-20005/unit-104/home/9875920,BRIGHT MLS,DCDC2246230,N,Y,38.9046172,-77.0278383
MLS Listing,,Condo/Co-op,1615 Q St NW Unit T1,Washington,DC,20009,499900,2,1.0,Old City 2,1034,,1895,17,483,1120,Active,,,https://www.redfin.com/DC/Washington/1615-Q-St-NW-20009/unit-T1/home/9865990,BRIGHT MLS,DCDC2246908,N,Y,38.9112851,-77.0374219
MLS Listing,,Condo/Co-op,151 V St NW #4,Washington,DC,20001,899000,2,2.5,Ledroit Park,1740,,1935,17,517,414,Active,,,https://www.redfin.com/DC/Washington/151-V-St-NW-20001/unit-4/home/81803582,BRIGHT MLS,DCDC2240036,N,Y,38.9182739,-77.0140059
MLS Listing,,Condo/Co-op,3902 14th St NW #321,Washington,DC,20011,235000,1,1.0,Columbia Heights,728,,1964,19,323,853,Active,,,https://www.redfin.com/DC/Washington/3902-14th-St-NW-20011/unit-321/home/181160000,BRIGHT MLS,DCDC2246234,N,Y,38.938952,-77.0337394
