SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Townhouse,1909 Poplar Bud Way,Henrico,VA,23238,415000,3,2.5,Townes At Ridgefield,1972,1759,2016,1,210,275,Active,,,https://www.redfin.com/VA/Henrico/1909-Poplar-Bud-Way-23238/home/101097431,CVRMLS,2605644,N,Y,37.6221554,-77.6364286
MLS Listing,,Townhouse,10 E Cary St,Richmond,VA,23219,779900,3,4.0,Richmond,3033,,2026,1,257,200,Active,,,https://www.redfin.com/VA/Richmond/10-E-Cary-St-23219/home/200798033,CVRMLS,2605198,N,Y,37.5420529,-77.4446134
MLS Listing,,Townhouse,2819 Murano Way,Glen Allen,VA,23059,465000,3,2.5,The Villas At Hunton Park,2258,2286,2008,1,206,310,Active,,,https://www.redfin.com/VA/Glen-Allen/2819-Murano-Way-23059/home/59608418,CVRMLS,2604915,N,Y,37.6836774,-77.5342527
MLS Listing,,Condo/Co-op,5100 Monument Ave #1115,Richmond,VA,23230,304950,2,1.0,5100 Monument,1265,871,1961,1,241,1006,Active,,,https://www.redfin.com/VA/Richmond/5100-Monument-Ave-23230/unit-1115/home/59673039,CVRMLS,2604648,N,Y,37.5790181,-77.5005798
MLS Listing,,Townhouse,706 Southwark Ln,Henrico,VA,23229,949950,3,2.5,Grayson Hill,3186,4922,2013,1,298,520,Active,March-12-2026 03:00 PM,March-12-2026 05:00 PM,https://www.redfin.com/VA/Henrico/706-Southwark-Ln-23229/home/59610624,CVRMLS,2603646,N,Y,37.5927373,-77.5953769
MLS Listing,,Condo/Co-op,12005 Kershaw Ct,Glen Allen,VA,23059,552000,3,2.5,Kelston Green At Wyndham,2047,,1994,2,270,420,Active,,,https://www.redfin.com/VA/Glen-Allen/12005-Kershaw-Ct-23059/home/59612436,CVRMLS,2603567,N,Y,37.7053759,-77.6102586
MLS Listing,,Townhouse,410 Adamson St,Henrico,VA,23075,159900,3,1.5,Fairlawn Townhouses,1032,1306,1974,2,155,9,Active,,,https://www.redfin.com/VA/Henrico/410-Adamson-St-23075/home/59685571,CVRMLS,2605575,N,Y,37.5345764,-77.3098377
MLS Listing,,Condo/Co-op,2814 Murano Way,Glen Allen,VA,23059,499000,3,3.0,The Villas At Hunton Park,3048,2922,2008,3,164,310,Active,March-15-2026 02:00 PM,March-15-2026 04:00 PM,https://www.redfin.com/VA/Glen-Allen/2814-Murano-Way-23059/home/59608410,CVRMLS,2604332,N,Y,37.6835719,-77.533888
MLS Listing,,Townhouse,3606 Meadowdale Blvd,North Chesterfield,VA,23234,219900,3,1.5,Meadowdale Th Pk,1026,1655,1973,3,214,113,Active,,,https://www.redfin.com/VA/North-Chesterfield/3606-Meadowdale-Blvd-23234/home/59563451,CVRMLS,2605449,N,Y,37.4384008,-77.4603959
MLS Listing,,Townhouse,1900 Mountain Gate Pl,Glen Allen,VA,23060,335000,3,2.5,Mountain Road Townes,1458,2604,2005,3,230,165,Active,,,https://www.redfin.com/VA/Glen-Allen/1900-Mountain-Gate-Pl-23060/home/59601235,CVRMLS,2605426,N,Y,37.6621817,-77.4849525
MLS Listing,,Townhouse,1136 Canterbury Ridge Rd,Richmond,VA,23224,299900,3,2.5,Richmond,1220,3267,2024,3,246,90,Active,,,https://www.redfin.com/VA/Richmond/1136-Canterbury-Ridge-RD-23225/home/190609306,CVRMLS,2605104,N,Y,37.494021,-77.493538
MLS Listing,,Condo/Co-op,4413 Greybull Dr Unit A,Henrico,VA,23233,439000,2,2.5,Gateway Square,1573,,2022,3,279,225,Active,,,https://www.redfin.com/VA/Henrico/4413-Greybull-Dr-23233/unit-A/home/183547715,CVRMLS,2605356,N,Y,37.6609208,-77.6457088
MLS Listing,,Condo/Co-op,8118 Wistar Creek Walk Unit B,Henrico,VA,23228,395000,3,2.5,Wistar Glen,2452,453346,2021,3,161,275,Active,,,https://www.redfin.com/VA/Henrico/8118-Wistar-Creek-Walk-23228/unit-B/home/173992036,CVRMLS,2605023,N,Y,37.6212768,-77.5181774
MLS Listing,,Townhouse,2037 Tobacco Mill St,Richmond,VA,23235,435000,3,3.0,BELLE HEIGHTS,1772,2082,2021,3,245,111,Pre On-Market,,,https://www.redfin.com/VA/Richmond/2037-Tobacco-Mill-St-23225/home/200783430,BRIGHT MLS,VARC2000850,N,Y,37.521021,-77.4536861
MLS Listing,,Condo/Co-op,4820 Old Main St #105,Henrico,VA,23231,410000,1,1.5,Village Of Rocketts Landing,1441,1441,2007,3,285,587,Active,,,https://www.redfin.com/VA/Henrico/4820-Old-Main-St-23231/unit-105/home/59607003,CVRMLS,2605413,N,Y,37.5169068,-77.4154175
MLS Listing,,Condo/Co-op,1020 Porter St #203,Richmond,VA,23224,214900,1,1.0,Richmond,598,,2013,3,359,385,Active,,,https://www.redfin.com/VA/Richmond/1020-Porter-St-23224/unit-203/home/200781977,CVRMLS,2605487,N,Y,37.5231337,-77.4447448
MLS Listing,,Condo/Co-op,110 W Marshall St Unit U25,Richmond,VA,23220,275000,1,1.0,Richmond,867,871,1915,3,317,360,Active,,,https://www.redfin.com/VA/Richmond/110-W-Marshall-St-23220/unit-U25/home/55392222,CVRMLS,2605469,N,Y,37.5473098,-77.4422498
MLS Listing,,Condo/Co-op,3820 Wellesley Terrace Cir,Henrico,VA,23233,599950,4,2.5,Park Terrace At Wellesley,2192,241004,1994,3,274,673,Active,,,https://www.redfin.com/VA/Henrico/3820-Wellesley-Terrace-Cir-23233/home/59625237,CVRMLS,2603793,N,Y,37.6472781,-77.6258346
MLS Listing,,Townhouse,4164 Park Trail Dr Unit T-3,Henrico,VA,23223,349003,3,2.5,Reserve at Springdale Park,1606,,2025,3,217,300,Active,,,https://www.redfin.com/VA/Henrico/4164-Park-Trail-DR-23223/unit-T-3/home/199546534,CVRMLS,2605445,N,Y,37.581658,-77.395654
MLS Listing,,Townhouse,4184 Park Trail Dr Unit U-3,Henrico,VA,23223,336873,3,2.5,Reserve at Springdale Park,1606,,2025,3,210,300,Active,,,https://www.redfin.com/VA/Henrico/4184-Park-Trail-DR-23223/unit-U-3/home/196315157,CVRMLS,2605442,N,Y,37.582154,-77.395366
