zip,jurisdiction,neighborhood,zhvi_2000,zhvi_2001,zhvi_2002,zhvi_2003,zhvi_2004,zhvi_2005,zhvi_2006,zhvi_2007,zhvi_2008,zhvi_2009,zhvi_2010,zhvi_2011,zhvi_2012,zhvi_2013,zhvi_2014,zhvi_2015,zhvi_2016,zhvi_2017,zhvi_2018,zhvi_2019,zhvi_2020,zhvi_2021,zhvi_2022,zhvi_2023,zhvi_2024,zhvi_2025,zhvi_2026
20001,Washington DC,Shaw / U St,108076.91363121077,121995.65725102746,140665.445325839,196700.04605589807,251889.82527901084,288952.0172982071,348885.9158213216,358390.54068449256,355767.83831633325,358886.34603804396,342107.3826691284,345902.3692687917,367353.4053506246,394812.6058173098,431291.84006980713,457747.93535045563,475970.5265257073,502769.68437634106,539088.9254593152,526902.2834831337,544212.2575302678,555993.543878525,568897.7967016441,541646.9561693295,531741.2856483323,516005.1787712308,512591.7838313733
20002,Washington DC,Capitol Hill NE / H St,114680.91039865011,127330.06998756714,154074.86596176765,190165.1215969564,226066.49592419574,278761.66867978155,324783.2023270382,327604.1422787408,328027.67098944035,318272.2730877836,294663.0966743638,302407.3754023752,300278.88460182684,338740.41645094246,376085.82570466533,395871.1167823325,416214.1237087134,422916.23257896345,429784.3269415254,448212.8275471306,456947.42086666264,475312.06176801777,470924.37586271204,451718.5655481853,443381.131168398,434922.0131474401,419404.57141572883
20003,Washington DC,Capitol Hill SE / Navy Yd,92906.74228541656,102159.00695249416,130166.40856390551,155440.67203050145,185524.6881433929,225264.09286025597,257437.409316969,261548.593949708,263336.68606511975,269140.82276928093,267280.00005824125,281611.8088928372,288564.5492784668,318890.1384748458,344852.0390967525,364958.6894029874,370343.5333835504,381648.0999641375,392107.7634114111,421113.84689061134,456755.8256843066,488062.54720341886,538112.7899684763,522225.8810865186,520239.2653555237,512712.0954815373,503009.58924491354
20004,Washington DC,Penn Quarter,174875.50686948578,189727.81176709707,238124.07741678265,280183.24211266404,331048.24889127334,377441.1519513053,419392.917604072,432253.44568348397,434040.98919640394,426088.4761668576,402670.6278688235,413661.5012445447,424973.600214531,435437.7724937,459007.89164762804,466131.5449821968,460311.10514245165,463453.12589632097,470422.3381539344,462928.76969406503,462543.5674979006,456830.8677922508,459600.96105146204,447600.2291217768,440096.63740049326,432099.8385399704,426970.22613998386
20005,Washington DC,Downtown / K St,132218.63912989365,153474.84231872813,200079.6958242258,250146.3569674584,284395.15490541357,349648.05346665013,402332.02551484224,387728.8520754839,397882.42970215814,391503.2515602983,377570.7889674232,387327.4839438214,394849.0203086934,415189.8753127097,447087.02509319555,463523.8495635619,473095.3124215,482145.7483714426,489153.97028873075,492309.3485642445,498714.017539096,503513.3775488732,508588.7051343476,504307.5828632731,498303.8656906251,490703.95704191434,480376.486533165
20006,Washington DC,Foggy Bottom,,,,,,,,,,,,,,,241858.0303046261,247884.11913211158,253707.85418370008,257840.84328715494,267135.4036932038,261804.32965341708,269866.1919781126,272855.97316785424,262568.75547945034,258215.69071508315,257423.67287572628,249797.80277418214,232058.1578463246
20007,Washington DC,Georgetown,159722.59494415502,174416.92291476903,210461.52384454428,260176.3356560909,291517.7236516818,353152.4349175818,403940.4353305676,403917.50065334723,405891.5585825096,388680.1260998335,375407.08590581344,387513.9303038444,379724.7922583781,396949.2732709295,420088.0726131971,425673.48338775436,436257.825351425,441034.4322180939,450215.4434014978,451061.5197623009,451833.4988057592,464136.4886189169,469342.71443773335,471671.334409148,473393.31487474364,471439.8341396534,462847.99243926094
20008,Washington DC,Cleveland Pk / Kalorama,144838.616792759,164652.25804080578,200088.77411799063,236145.57052110715,268763.76042401517,319575.0051350294,366488.21020653733,352203.73754640395,350057.09194077615,341544.82292464894,329098.4564989189,334243.7733165086,328722.54036963516,344252.3430487124,367856.11041000107,377686.8105179579,389764.5415457588,396818.17806321295,405506.93183683424,408497.8508665734,414538.3403755715,429817.1901361945,436137.9261568982,426322.25467837957,432793.5734110673,428915.681896308,417781.77953215694
20009,Washington DC,Adams Morgan,143014.91429921973,164834.61511885605,197685.4948708869,239314.44102108045,270679.20932214713,328725.18872985017,377478.8250601287,365626.8203069079,372552.30777266505,365892.98662874894,356276.86601683643,364726.4998813363,368556.5882448014,390969.8931846686,417275.4276993778,431338.0813212118,444101.82937421504,452739.8496349913,464330.47899538564,472897.16993101174,478395.95124724717,488656.6710104285,497182.24526273826,485825.8923300823,493903.35151544464,491094.72738741053,485283.8440635167
20010,Washington DC,Columbia Heights,113773.39268326075,126354.90563306345,147504.04657527345,182243.65871428195,232083.01792052752,278981.763475425,337641.0325040443,322872.39231198706,325191.11398858106,305215.8483110357,306415.2282785442,318797.9554006281,323632.90729798074,356968.9245605298,394442.5736519442,422621.9597574691,442665.54359272233,448155.04872538924,463248.46997702797,470559.7711022566,476088.77816783945,482538.3116198674,503621.5014535222,483953.9888864455,488253.30340538156,480899.71625068114,470362.66876876564
20011,Washington DC,Petworth / Brightwood,105834.06377624175,113015.53178971849,138659.01865112,151001.249258375,169814.89535214353,205959.48844195626,254574.29462683483,274672.29187928716,276167.04372960463,259089.26623654514,227506.85515462805,236719.36932489183,231967.18431474475,245592.0785941877,280561.5090966761,307428.09089323576,329076.30502413365,345476.56691610935,358461.0180883722,372773.60521765664,381759.29536773876,398048.49295403855,424035.25652177795,392556.20448233985,384146.48677024984,367632.0078963288,346756.8066379232
20012,Washington DC,Shepherd Park,,,,,,,,,329555.47207486496,314757.1451544699,299019.18834630284,299761.73502448644,276221.7348829938,273983.52178562945,294433.3182925549,312089.2802111963,326555.36235992395,340136.24958045915,360389.0807490672,388106.06783400296,404580.2727002518,424615.4298121535,445079.5394232737,420678.95197183825,417291.69071854,412431.5444571843,397223.26439298363
20015,Washington DC,Chevy Chase DC,118802.84418566078,140271.41655686995,184434.79307460494,222551.9375435768,282385.4170201029,328796.0317278223,390703.62052007875,382951.42850753356,387616.49301606783,371296.4956923886,349277.5649664852,342840.74563120585,327170.6701608516,331882.62811577454,351398.02755811694,352825.21145778574,360870.60432223044,361302.15647976473,362038.65075642214,361839.8176793675,370492.2721364612,383903.0342688723,377258.934408697,370528.51686606277,365661.18637680827,360428.2336533675,353244.95615898346
20016,Washington DC,Tenleytown / Palisades,144156.57064607312,156642.5733769265,195003.62427077434,232532.53805037765,259793.78548512593,311003.55713512236,357773.6245462969,354996.35298711975,350287.7328246182,338232.2269268247,322829.42362295743,334556.5165012851,326054.4683316544,333731.1641473921,349577.49787287397,356502.5319671361,365702.83851235796,369416.2392548925,379822.0405395696,387099.975447035,,407485.9382456957,408621.4829418697,404581.5233015683,404959.73062221176,409163.8359670122,395813.22218438867
20017,Washington DC,Brookland,140566.8504869419,149366.59819473024,150493.71808174197,184587.82232825566,211008.10957143072,277053.8724443973,377199.1980916105,375419.10602955817,372615.30085855536,337756.6345424817,308609.78251554957,311850.57600402314,304752.89791351906,334409.81104434,370271.0420189987,393100.71229266404,395987.08430152223,401527.0791067032,413130.79997999896,394236.6840275894,405144.04214150464,411177.5738233831,425821.291633046,373325.76190607436,366947.46904239844,348037.66692973307,350237.2641373067
20018,Washington DC,Woodridge / Ft Totten,96742.081133744,97642.05798249405,103926.0674276084,116919.77204168662,124940.08668833676,145758.2220556689,183235.58737043248,209985.2060321951,227098.27118192846,201979.66450580224,165494.59132896148,160188.70759313434,156473.2070441527,158038.96237258485,187366.03491341547,214517.5658688629,249741.19798913915,286246.1365276266,301623.96531596576,335766.96981975896,351699.78051124985,351279.5579052383,393216.9374332493,366722.2265759008,362020.02291990834,335223.2247440118,332478.93000879284
20019,Washington DC,Deanwood / Benning,81939.27987792372,87746.74701691489,79962.47663914728,90832.81380306951,108938.99910251507,130442.22565895307,160087.5962069492,170639.73415566317,180569.6726480495,162442.10179545777,140743.17402789067,131161.42205772767,110109.02881752008,111257.1885067842,117363.50976448816,133837.38635677076,134685.08202715966,143908.7215976197,157525.98477449594,170094.57408993077,195972.06658497374,208015.6701263845,210357.02056107298,210769.28846749032,210943.74693285907,198842.87295447383,179820.23252934834
20020,Washington DC,Anacostia,47011.73733234235,45801.75904849902,53953.551158683025,61945.74085644892,70257.94735950347,83380.06005195827,104845.13529031398,128422.55008734077,130220.21478535076,123121.64294988825,118107.7785555541,100052.04979706883,75359.84668702459,90455.90653859921,104770.24239552832,116297.34356759326,117382.42369433965,129469.48008867442,135437.81306383852,151526.73239882456,165986.31635454771,175826.42348541226,175638.55095219507,181765.47693218014,184026.20614975307,175845.7604582661,162593.79290933404
20024,Washington DC,SW Waterfront / Wharf,81091.17801097661,92243.25140602265,112493.01490369951,144079.36504982715,169327.56822455628,205956.678971272,243177.90256697533,247306.56494863177,243051.20670380813,223280.44404942062,227839.4809540743,229593.56162576762,228524.07262456967,245526.92829380688,270988.2656370041,289045.65094201645,316177.6854943063,333568.4934248514,354946.45420549886,374551.6243160423,372052.8291716282,389113.59491651814,380342.52621050546,361431.60293687694,356102.28726443154,343869.3532589413,322328.16769697214
20032,Washington DC,Congress Hts South,,,,,,,,,,,,,,,,,,124281.79969362957,138345.17513035066,154421.11565389924,173333.82012664943,172615.4897052466,173763.2950211341,173533.6778511222,184038.50308214876,171822.57504618276,151475.10567583772
